,21
"""Child",1
"""Mattress",1
"""Very",1
'10,1
'A,1
'Broken,1
'Bullying,1
'Calorie-Bomb,1
'Exciting,1
'God,1
'Golden,1
'Hard,1
'Kill-Switch,1
'Largest,1
'Manipulated,1
'Mega,1
'No,1
'Polio,1
'Private,1
'Sea,1
'Sleepy,1
'Smoke,1
'Snag,1
'Supervolcano,1
'Thugs,1
'Uncharted,1
'We,1
'Wettest,1
'Why,1
"1,000",2
1.25C,1
10,1
"10,000",1
100,1
160-Year-Old,1
17Th,1
18,1
1864,1
1960S,1
1997,1
2,1
200,1
2023,1
2024,3
24-Year-Old,1
30,1
385-Million-Year-Old,1
50,1
50-Billion-Dollar,1
50-Year,1
7,1
70,2
700,1
70S,1
777,1
787,1
8,1
80,1
94,1
96,1
Able,1
Aboard,1
Abortion,2
Abrdn,1
Accessibility,1
Across,2
Action,1
Actually,1
Adapt,1
Addicted,2
Adds,1
Adjusting,1
Adventures,1
Advertise,1
Advice,1
Affect,1
Africa,1
Africa'S,1
Age,1
Aged,1
Ago,1
Agrees,1
Ai,1
Aid,2
Aiding,1
Alan,1
Alaska,2
Album,1
Alexander,1
Alive,1
Allegedly,1
Allows,1
Almost,2
Alom,1
Alone,1
Along,1
Also,1
Alter,1
America,8
Ancestors,1
Ancient,2
Angeles,1
Animal,1
Animals,1
Animation,1
Announces,2
Another,1
Answer,1
Antarctic,1
Antarctica,1
Anthems,1
Anthony,1
Apart,1
App,1
Apparently,1
Apple,2
Approach,1
April,1
Archaeological,1
Archive,1
Argentina,4
Argentines,1
Arizona,1
Arizona'S,1
Arms,1
Around,2
Arrested,1
Arsenal,2
Art,3
Artificial,1
Arts,1
Ashley,1
Asia,1
Asked,1
Asking,1
Assault,1
Asthma,1
Astrophysicist,1
Attached,1
Attitude,1
Attraction,1
Attractions,1
Audio,2
Auroch,1
Aurora,1
Australia,3
Autopilot,1
Average,1
Avocado,1
Award,1
Away,1
Axe,1
Baba,1
Back,2
Baldwin,1
Ban,2
Bank,2
